Model,Val Accuracy,Val AUC
MobileNetV2,0.5424044728279114,0.948544979095459
VGG16,0.3958527445793152,0.9064525961875916
EfficientNetB0,0.36975768208503723,0.9324374198913574
DenseNet121,0.13140727579593658,0.7229999303817749
ResNet50,0.09156570583581924,0.7584903836250305
