epoch,AUC,accuracy,loss,val_AUC,val_accuracy,val_loss
0,0.5730597376823425,0.01571732386946678,5.367061614990234,0.6121225953102112,0.03611370176076889,5.174173355102539
1,0.648827314376831,0.03332545608282089,5.06887674331665,0.6764604449272156,0.03914259001612663,4.958432674407959
2,0.6801930665969849,0.04348853603005409,4.899927139282227,0.6966370344161987,0.04939422011375427,4.8868632316589355
3,0.7113639712333679,0.05412432178854942,4.721397876739502,0.7127448320388794,0.06686859577894211,4.8255767822265625
4,0.7323852181434631,0.06428740173578262,4.5718817710876465,0.723219633102417,0.06780055910348892,4.760511875152588
5,0.7497364282608032,0.07622311264276505,4.426196098327637,0.730937123298645,0.07688723504543304,4.7171406745910645
6,0.7707489132881165,0.09123139083385468,4.277696132659912,0.7366927862167358,0.07665424048900604,4.68432092666626
7,0.7875722646713257,0.09607657790184021,4.133554458618164,0.7364294528961182,0.07828518003225327,4.704739093780518
8,0.7982748746871948,0.11167572438716888,4.005979537963867,0.735413670539856,0.08154706656932831,4.732580661773682
9,0.8055670261383057,0.12337508797645569,3.893400192260742,0.7467243671417236,0.0957595556974411,4.6636505126953125
