epoch,accuracy,loss,val_accuracy,val_loss
0,0.14358307421207428,4.532466888427734,0.30922576785087585,3.393063545227051
1,0.2995745539665222,3.1778624057769775,0.4255911111831665,2.4694106578826904
2,0.38312456011772156,2.5665817260742188,0.4659248888492584,2.2094886302948
3,0.44682109355926514,2.195688486099243,0.5067222714424133,2.0344467163085938
4,0.5094540119171143,1.902463436126709,0.5150672197341919,1.9560562372207642
5,0.5498700141906738,1.693501353263855,0.5243393778800964,1.9005895853042603
6,0.5900496244430542,1.5146992206573486,0.5433472394943237,1.904567837715149
7,0.6169936060905457,1.3681819438934326,0.5428836345672607,1.8848133087158203
8,0.6473646759986877,1.2379423379898071,0.5544738173484802,1.925730586051941
9,0.6765540242195129,1.1401700973510742,0.5484468936920166,1.9044930934906006
