epoch,accuracy,loss,val_accuracy,val_loss
0,0.019010083749890327,5.247354030609131,0.0185442753136158,5.262260913848877
1,0.02190796285867691,5.160327911376953,0.03106166049838066,5.240975856781006
2,0.02179204858839512,5.133912563323975,0.025034770369529724,5.208005428314209
3,0.024342181161046028,5.123796463012695,0.015299026854336262,5.189975261688232
4,0.021328387781977654,5.107940196990967,0.028280017897486687,5.169673442840576
5,0.025153588503599167,5.111891746520996,0.025034770369529724,5.210046291351318
6,0.026544569060206413,5.139327526092529,0.025034770369529724,5.07699728012085
7,0.024342181161046028,5.058990001678467,0.025034770369529724,5.0295867919921875
8,0.022487539798021317,5.039042949676514,0.025034770369529724,5.020259857177734
9,0.0246899276971817,5.034617900848389,0.025034770369529724,5.018435001373291
