epoch,accuracy,loss,val_accuracy,val_loss
0,0.09910745173692703,4.8053388595581055,0.12702828645706177,4.531732082366943
1,0.1360843926668167,4.373639106750488,0.1854427456855774,4.13417387008667
2,0.18639156222343445,3.9968676567077637,0.20676866173744202,3.9214181900024414
3,0.2299756556749344,3.706531286239624,0.2257765382528305,3.8134031295776367
4,0.2740234136581421,3.4516522884368896,0.24339359998703003,3.781966209411621
5,0.30358177423477173,3.267697334289551,0.2447844296693802,3.751577615737915
6,0.33163323998451233,3.092653274536133,0.25359296798706055,3.7659785747528076
7,0.3635099232196808,2.943843126296997,0.24339359998703003,3.8469722270965576
8,0.3879680037498474,2.8424899578094482,0.25405657291412354,3.81876277923584
9,0.445230096578598,2.568686008453369,0.26425591111183167,3.7411153316497803
